Merek,Model,Varian,Tahun,harga,Jarak tempuh,Tipe bahan bakar,Transmisi,Kapasitas mesin
Toyota,Avanza,1.3 G Bensin-MT,2017,158000000.0,67500.0,Bensin,Manual,1.3
Toyota,Agya,1.2 G Bensin-MT,2018,116000000.0,57500.0,Bensin,Manual,1.2
Toyota,Avanza,1.5 Veloz Bensin-MT,2019,192000000.0,97500.0,Bensin,Manual,1.5
Daihatsu,Xenia,1.5 R Deluxe Bensin-MT,2021,184000000.0,62500.0,Bensin,Manual,1.5
Isuzu,Panther,2.5 Smart LM Solar-MT,2008,120000000.0,107500.0,Diesel,Manual,2.5
Toyota,Avanza,1.3 G Bensin-MT,2019,156000000.0,92500.0,Bensin,Manual,1.3
Toyota,Agya,1.2 G Bensin-MT,2019,123000000.0,7500.0,Bensin,Manual,1.2
Honda,Brio Satya,1.2 E Bensin-MT,2014,95000000.0,112500.0,Bensin,Manual,1.2
Suzuki,Baleno next-G,1.5 Bensin-MT,2004,55000000.0,237500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.0 G Bensin-MT,2004,85000000.0,202500.0,Bensin,Manual,2.0
Nissan,Grand livina,1.5 XV Facelift Bensin-MT,2012,94000000.0,112500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.0 Zenix Q HV CVT TSS Modellista Hybrid-AT,2022,535000000.0,47500.0,Hybrid,Automatic,2.0
Honda,Genio,1.5 Bensin-MT,1994,45000000.0,202500.0,Bensin,Manual,1.5
Suzuki,APV,1.5 Bensin-MT,2007,67000000.0,122500.0,Bensin,Manual,1.5
Suzuki,Escudo,2.0 Bensin-MT,2002,53000000.0,102500.0,Bensin,Manual,2.0
Daihatsu,Rocky,1.2 X Bensin-MT,2021,177000000.0,52500.0,Bensin,Manual,1.2
Daihatsu,Xenia,1.5 R Deluxe Bensin-MT,2021,161000000.0,37500.0,Bensin,Manual,1.5
Honda,Mobilio,1.5 RS Bensin-MT,2015,132000000.0,87500.0,Bensin,Manual,1.5
Daihatsu,Xenia,1.5 R Deluxe Bensin-MT,2021,195000000.0,52500.0,Bensin,Manual,1.5
Daihatsu,Taruna,1.5 FL Bensin-MT,2002,57000000.0,7500.0,Bensin,Manual,1.5
Mitsubishi,Colt,1.3 Bensin-MT,1986,27500000.0,82500.0,Bensin,Manual,1.3
Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2015,139000000.0,82500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.0 G Luxury Bensin-AT,2019,325000000.0,77500.0,Diesel,Automatic,2.0
Honda,Jazz,1.5 RS Bensin-AT,2016,190888888.0,82500.0,Bensin,Automatic,1.5
Toyota,Alphard,2.4 G Bensin-AT,2017,705000000.0,67500.0,Bensin,Automatic,2.4
Mitsubishi,Pajero Sport,2.4 Dakar 4x2 Solar-AT,2019,455000000.0,57500.0,Diesel,Automatic,2.4
Toyota,Kijang Innova,2.4 G Solar-MT,2019,335000000.0,52500.0,Diesel,Manual,2.4
Toyota,Avanza,1.3 E Bensin-MT,2013,102000000.0,147500.0,Bensin,Manual,1.3
Honda,CR-V,2.0 Bensin-MT,2003,73000000.0,197500.0,Bensin,Manual,2.0
Suzuki,Splash,1.2 DR Bensin-MT,2013,92000000.0,52500.0,Bensin,Manual,1.2
Nissan,Grand livina,1.5 SV Bensin-MT,2018,132000000.0,52500.0,Bensin,Manual,1.5
